ctn:date:sum
79059990000:2018-01-01:0,5160971255
79059990001:2018-01-02:7,4737094977
79059990002:2018-01-03:8,5631799789
79059990003:2018-01-04:2,7081926956
79059990004:2018-01-05:2,8337654449
79059990005:2018-01-06:1,1813905532
79059990006:2018-01-07:1,1299247884
79059990007:2018-01-08:4,884348392
79059990008:2018-01-09:0,1392990196
79059990009:2018-01-10:92,7839564689
79059990010:2018-01-11:69,7545421802
79059990011:2018-01-12:43,8205231012
79059990012:2018-01-13:53,7831238743
79059990013:2018-01-14:18,1929425495
79059990014:2018-01-15:2,4978674037
79059990015:2018-01-16:29,4677929755
79059990016:2018-01-17:74,1922180686
79059990017:2018-01-18:92,1582029184
79059990018:2018-01-19:91,9281825625
79059990019:2018-01-20:6,8661926881
79059990020:2018-01-21:17,8771302969
79059990021:2018-01-22:9,4219376417
79059990022:2018-01-23:16,1317392802
79059990023:2018-01-24:1,8859842526
79059990024:2018-01-25:17,2494398601
79059990025:2018-01-26:19,1219340225
79059990026:2018-01-27:4,1216814404
79059990027:2018-01-28:10,6994196565
79059990028:2018-01-29:19,419257997
79059990029:2018-01-30:14,7333891539
79059990030:2018-01-31:11,2395968138
79059990031:2018-02-01:15,7394332016
79059990032:2018-02-02:4,1600837919
79059990033:2018-02-03:14,9807888642
79059990034:2018-02-04:6,6389020789
79059990035:2018-02-05:13,6195825533
79059990036:2018-02-06:13,0685619606
79059990037:2018-02-07:0,3944456789
79059990038:2018-02-08:1,1447888811
79059990039:2018-02-09:3,6882999086
79059990040:2018-02-10:0,3148923891
79059990041:2018-02-11:0,1505124267
79059990042:2018-02-12:5,4054918992
79059990043:2018-02-13:8,8691101914
79059990044:2018-02-14:0,9829882633
79059990045:2018-02-15:4,5052765475
79059990046:2018-02-16:52,4503883627
79059990047:2018-02-17:99,6537646001
79059990048:2018-02-18:51,0788161223
79059990049:2018-02-19:4,5092713075
79059990050:2018-02-20:2,0542560341
79059990051:2018-02-21:78,2834442486
79059990052:2018-02-22:26,2363785344
79059990053:2018-02-23:28,2028692155
79059990054:2018-02-24:61,2416262056
79059990055:2018-02-25:5,7572996849
79059990056:2018-02-26:15,1614883055
79059990057:2018-02-27:6,4456316447
79059990058:2018-02-28:4,1931069744
79059990059:2018-01-01:9,0344422348
79059990060:2018-01-02:8,3591564817
79059990061:2018-01-03:11,549864089
79059990062:2018-01-04:5,7792072486
79059990063:2018-01-05:1,9083644691
79059990064:2018-01-06:18,8663571797
79059990065:2018-01-07:5,8572855227
79059990066:2018-01-08:11,9317535922
79059990067:2018-01-09:15,027794735
79059990068:2018-01-10:1,8812626376
79059990069:2018-01-11:13,7928615225
79059990070:2018-01-12:17,8469938242
79059990071:2018-01-13:4,4366832032
79059990072:2018-01-14:6,5128674378
79059990073:2018-01-15:3,4534743052
79059990074:2018-01-16:6,5810002945
79059990075:2018-01-17:8,9343825196
79059990076:2018-01-18:2,253435498
79059990077:2018-01-19:4,270742107
79059990078:2018-01-20:4,6836163759
79059990079:2018-01-21:8,2009115308
79059990080:2018-01-22:2,6578554508
79059990081:2018-01-23:4,6478234018
79059990082:2018-01-24:6,203152521
79059990083:2018-01-25:83,776656409
79059990084:2018-01-26:30,3629699601
79059990085:2018-01-27:33,0284521358
79059990086:2018-01-28:47,0494148946
79059990087:2018-01-29:34,8983153346
79059990088:2018-01-30:24,0259491147
79059990089:2018-01-31:54,9761544748
79059990090:2018-02-01:14,5918228912
79059990091:2018-02-02:67,9142063667
79059990092:2018-02-03:77,3896060965
79059990093:2018-02-04:11,9636235421
79059990094:2018-02-05:4,8472108416
79059990095:2018-02-06:13,5496478669
79059990096:2018-02-07:5,0778558253
79059990097:2018-02-08:10,8397501758
79059990098:2018-02-09:5,9301039235
79059990099:2018-02-10:19,9708554296
79059990000:2018-02-11:6,4317946321
79059990001:2018-02-12:19,6161219936
79059990002:2018-02-13:13,3066809568
79059990003:2018-02-14:14,055250128
79059990004:2018-02-15:5,6635825564
79059990005:2018-02-16:3,7040479399
